;MIRI Telescope Simulator (MTS) Short-Wave Pass Filter
;Document Reference # : CDR 00779					
;Sample ID	6LG	6LP	2H2
;Assignment	Flight Item	Flight Item	Test Piece
;Batch		05482/05483	05482/05483	05482/05483
;Msrmnt Filenam	6LG_RT_1E	6LP_RT_1E	2H203535
;Temperature	297K	297K	35K
;Angle		0°	0°	0°
;Mode	T%	T%	T%
;Polarization	No	No	No
;Polarization Angle	n/a	n/a	n/a


;micron	T1%	T2%	T3%		
10.85	89.6466293	89.7104263	91.2091675
10.90	89.6011581	89.7018051	91.125473
10.95	89.5536423	89.6591644	90.9971771
11.00	89.4931335	89.5718842	90.8210449
11.05	89.4049911	89.4727249	90.6921082
11.10	89.2870331	89.367775	90.6018982
11.15	89.1904907	89.2670517	90.4625092
11.20	89.0814896	89.1671219	90.3049164
11.25	88.9620667	89.0639038	90.1767349
11.30	88.8666534	88.9583206	90.0622559
11.35	88.7562637	88.8508072	89.9416351
11.40	88.6699066	88.7651749	89.833107
11.45	88.6062927	88.6805573	89.7167435
11.50	88.5461578	88.5830002	89.5696182
11.55	88.4687195	88.5094299	89.4091263
11.60	88.3519974	88.417038	89.1865768
11.65	88.2172775	88.2984467	89.0411758
11.70	88.0490189	88.1531372	88.9967728
11.75	87.9402313	88.0294113	88.9970551
11.80	87.8607178	87.9421539	88.9601135
11.85	87.7318192	87.8553467	88.8740692
11.90	87.5857697	87.7698517	88.7636032
11.95	87.5022202	87.6819	88.6448135
12.00	87.4745102	87.5799179	88.5260391
12.05	87.409256	87.4669571	88.3273163
12.10	87.2789764	87.3634338	88.0029144
12.15	87.1241074	87.255455	87.6156311
12.20	87.0394363	87.164566	87.2876816
12.25	86.9979935	87.0916748	86.8862152
12.30	86.9331436	87.0104828	86.4374847
12.35	86.8207397	86.9104156	86.1897659
12.40	86.6921539	86.8010788	86.2327957
12.45	86.5754929	86.6892624	86.6622772
12.50	86.4837799	86.6019669	87.032402
12.55	86.3669357	86.4975967	87.207695
12.60	86.2799301	86.3713989	87.2872391
12.65	86.1881638	86.2333069	87.3866425
12.70	86.0721817	86.1177444	87.4311447
12.75	85.9530563	85.9882278	87.4195557
12.80	85.8338318	85.8571701	87.3736649
12.85	85.6712646	85.7188721	87.2916336
12.90	85.5165405	85.5717163	87.2077408
12.95	85.3951645	85.4093628	87.1467056
13.00	85.2639694	85.2535782	87.0951157
13.05	85.1594467	85.1488495	87.0290833
13.10	85.115921	85.1117859	86.906456
13.15	85.0699615	85.089325	86.7466125
13.20	84.9669189	85.012825	86.5928421
13.25	84.8169327	84.9044266	86.501976
13.30	84.6572189	84.7727356	86.4300308
13.35	84.5483246	84.6301575	86.3697205
13.40	84.4702988	84.5275803	86.310791
13.45	84.3571014	84.4229202	86.2187958
13.50	84.2323837	84.3068619	86.0931549
13.55	84.1209183	84.1947861	85.9524841
13.60	84.0196152	84.0864944	85.7636795
13.65	83.882576	83.9511414	85.5016327
13.70	83.7558594	83.8347855	85.353714
13.75	83.6048126	83.6794586	85.2102203
13.80	83.4427719	83.5176849	85.0421906
13.85	83.2723999	83.3528137	84.9495773
13.90	83.1375122	83.2196655	85.0507278
13.95	82.9979401	83.0799713	85.2048035
14.00	82.8560944	82.9387436	85.1614838
14.05	82.6826172	82.7722092	84.991478
14.10	82.5248184	82.5994034	84.7817841
14.15	82.4010391	82.4403076	84.6053696
14.20	82.2639542	82.2889633	84.5285416
14.25	82.0986099	82.1197968	84.4828873
14.30	81.9167786	81.9301605	84.3826141
14.35	81.7122421	81.7467346	84.2751236
14.40	81.5167465	81.5800781	84.2084808
14.45	81.3190155	81.388382	84.119194
14.50	81.1300201	81.2092361	84.0087051
14.55	80.9150848	80.9936981	83.933548
14.60	80.7163467	80.8125	83.9059601
14.65	80.4513245	80.5956955	83.8134232
14.70	80.2385483	80.3738556	83.6711273
14.75	80.035614	80.1619949	83.5310287
14.80	79.7587585	79.8726425	83.3557663
14.85	79.5437622	79.592659	83.1301651
14.90	79.3081284	79.2787094	82.7195892
14.95	79.0426178	78.9711609	82.4126663
15.00	78.5242004	78.4373093	82.2555008
15.05	78.0433121	78.0196838	82.2096024
15.10	77.5076752	77.5498352	82.084549
15.15	76.9749527	76.9713974	81.8923035
15.20	76.4753952	76.4306641	81.6742249
15.25	75.8635483	75.864418	81.3258209
15.30	75.2909393	75.380928	80.8652496
15.35	74.9008102	75.011055	80.5175476
15.40	74.557869	74.6194534	80.3122864
15.45	74.2092209	74.2338867	80.2849121
15.50	73.7198792	73.7772141	80.3054657
15.55	73.1099243	73.2405396	80.222229
15.60	72.4299164	72.5983887	79.814621
15.65	71.9133606	72.0786362	79.2378616
15.70	71.4171066	71.6037903	78.5455399
15.75	71.024086	71.2475739	78.0828171
15.80	70.6386337	70.8605576	77.8768463
15.85	70.1821442	70.3700714	77.9398346
15.90	69.586113	69.7303314	78.1999359
15.95	68.8420868	68.9550705	78.5724945
16.00	68.1178665	68.2241745	78.932724
16.05	67.3134995	67.4351349	79.2941437
16.10	66.7388	66.8872223	79.4837341
16.15	66.2706299	66.4519043	79.5734863
16.20	66.0217896	66.215004	79.6056671
16.25	65.9671249	66.1502151	79.6484985
16.30	66.0322723	66.2210922	79.6771698
16.35	66.1995926	66.4380569	79.6271133
16.40	66.4081802	66.6924438	79.4796143
16.45	66.6556625	66.9555435	79.2550049
16.50	66.9477081	67.2252121	78.9175797
16.55	67.1363983	67.4030228	78.5798874
16.60	67.2276535	67.5081177	78.192482
16.65	67.1892166	67.4956512	77.6604233
16.70	67.0948868	67.3924942	77.2842636
16.75	66.8914642	67.1364212	76.999527
16.80	66.600296	66.8126907	76.9704514
16.85	66.2135239	66.4319229	76.9798355
16.90	65.689003	65.9523392	76.8991165
16.95	65.2841034	65.5729904	76.7980881
17.00	64.8169479	65.1021423	76.6673965
17.05	64.3346558	64.5908585	76.5335007
17.10	63.8860588	64.1269989	76.4649429
17.15	63.2292252	63.4715614	76.4730911
17.20	62.7249222	62.9616051	76.5299759
17.25	62.1724205	62.3832359	76.6259079
17.30	61.6972961	61.8916283	76.7130585
17.35	61.3561058	61.5572433	76.7534409
17.40	61.0597839	61.2767296	76.7820816
17.45	60.9092789	61.1292648	76.8099213
17.50	60.8493652	61.0709915	76.8068008
17.55	60.8094177	61.0481873	76.7760086
17.60	60.7806206	61.0563507	76.7672806
17.65	60.7716141	61.09515	76.7826004
17.70	60.7856789	61.1361809	76.7743454
17.75	60.8093719	61.1724091	76.7040634
17.80	60.8248596	61.1844788	76.5850754
17.85	60.8320885	61.1830254	76.4444199
17.90	60.8192139	61.1670341	76.313118
17.95	60.7710686	61.1246796	76.1868515
18.00	60.6880951	61.0407677	76.0503998
18.05	60.5583191	60.8727722	75.9010773
18.10	60.4090195	60.6770554	75.7957764
18.15	60.1720543	60.4096794	75.688591
18.20	59.907589	60.1579895	75.5942154
18.25	59.5908623	59.8803558	75.4960403
18.30	59.231205	59.569458	75.4017944
18.35	58.8622551	59.221096	75.3129196
18.40	58.5699844	58.9048691	75.2361298
18.45	58.2246895	58.4919662	75.1143036
18.50	57.8875999	58.120594	74.9677353
18.55	57.4086266	57.6556091	74.7449417
18.60	56.8713036	57.1729088	74.4777985
18.65	56.3111839	56.6562157	74.2031021
18.70	55.7229729	56.0821533	73.9650345
18.75	55.0823936	55.4374542	73.7677841
18.80	54.505291	54.8434372	73.6231537
18.85	53.7530403	54.0505295	73.4543457
18.90	53.0620842	53.3305664	73.2728958
18.95	52.1407509	52.4012604	72.9879074
19.00	51.1050568	51.3934898	72.6480179
19.05	50.1855965	50.5132828	72.3551025
19.10	49.0775261	49.4421654	71.993927
19.15	48.1794777	48.5521393	71.6243286
19.20	47.1002312	47.4791603	71.0612183
19.25	46.1743851	46.5665817	70.507576
19.30	45.0088539	45.4115906	69.8092651
19.35	43.9902534	44.3810844	69.2139587
19.40	42.9283409	43.3002167	68.5214233
19.45	41.5553246	41.915863	67.283493
19.50	40.5718803	40.9374619	66.1404343
19.55	39.0055237	39.3848686	64.093338
19.60	37.6311073	38.0119476	62.3708801
19.65	36.2038193	36.5816917	60.8025436
19.70	34.3859215	34.7717705	59.2496872
19.75	33.1216812	33.521553	58.3776169
19.80	31.1931267	31.6099186	57.2704849
19.85	29.9080696	30.3272133	56.6266251
19.90	27.9883461	28.4208527	55.7187996
19.95	26.7156792	27.1907082	55.1453781
20.00	24.8637466	25.4613972	54.3769913
20.05	23.7231503	24.399313	53.9197197
20.10	22.2382584	22.9257355	53.2396049
20.15	21.3968601	22.0079918	52.7620316
20.20	20.2564621	20.7122154	52.0507927
20.25	19.5096188	19.8913631	51.6365242
20.30	18.3684654	18.7010612	51.1641731
20.35	17.6091003	17.9282532	50.9331284
20.40	16.5029869	16.8114204	50.6498413
20.45	15.7957535	16.10816	50.4842148
20.50	14.9526424	15.2830439	50.2982903
20.55	14.1850433	14.5348387	50.1151237
20.60	13.6214161	13.9806547	49.9452744
20.65	12.9764099	13.3426294	49.6971283
20.70	12.4022341	12.7803917	49.422081
20.75	11.9822397	12.3746309	49.1897736
20.80	11.5029125	11.9136353	48.8684387
20.85	11.0671406	11.4903316	48.4857559
20.90	10.7293215	11.1630888	48.1498146
20.95	10.3102293	10.7635975	47.7115326
21.00	9.97705936	10.448822	47.3433838
21.05	9.56689739	10.0435314	46.7602768
21.10	9.24012661	9.69604969	46.0952759
21.15	8.82746887	9.22413349	44.8957901
21.20	8.48861885	8.81982422	43.5395966
21.25	8.03992271	8.30318737	41.2412376
21.30	7.64634848	7.88060856	38.7672424
21.35	7.0929184	7.32237434	34.5943298
21.40	6.59017944	6.82729435	30.2238522
21.45	6.0484581	6.28423405	25.3411903
21.50	5.47727108	5.69652176	20.4235954
21.55	4.72596788	4.90731668	14.8831758
21.60	4.10932064	4.25119162	11.1307316
21.65	3.34510088	3.42315102	7.42629337
21.70	2.76738763	2.77747703	5.35122681
21.75	2.22628403	2.16016817	3.85996175
21.80	1.71903419	1.58420777	2.75888157
21.85	1.25341022	1.07618093	1.91603434
21.90	0.85269475	0.670915246	1.29101944
21.95	0.539080977	0.387667507	0.872532964
22.00	0.316876531	0.214224502	0.617715001
22.05	0.151954204	0.102204993	0.443822384
22.10	0.076373994	0.049893402	0.363067418
22.15	0.02727825	0.008605249	0.307391256
22.20	0.007997501	-0.0078195	0.284120262
22.25	-0.0068755	-0.0089235	0.266474754
22.30	-0.0193935	0.00267425	0.247001499
22.35	-0.02613675	0.0185395	0.218569756
22.40	-0.02369675	0.02880425	0.181511745
22.45	-0.012162251	0.0279065	0.143790245
22.50	0.006376	0.0177885	0.113646001
22.55	0.029762249	0.005642	0.092750505
22.60	0.048720334	-0.001093	0.081885003
22.65	0.069989331	-0.002982667	0.074280001
22.70	0.074760251	-0.0005355	0.073988751
22.75	0.063063994	0.00405225	0.079277001
22.80	0.02950125	0.00829975	0.090377748
