2.000   95.165
4.500	95.165
5.000   95.165
5.045	95.165
5.224	95.226
5.403	95.193
5.582	95.195
5.754	95.146
5.976	95.166
6.164	95.189
6.343	95.206
6.522	95.192
6.746	95.204
6.967	95.186
7.149	95.201
7.373	95.201
7.597	95.176
7.821	95.097
8.000	95.089
8.179	95.069
8.403	95.018
8.582	95.010
8.793	95.012
8.985	95.032
9.209	95.090
9.433	95.159
9.646	95.184
9.881	95.199
10.060	95.179
10.239	95.199
10.418	95.171
10.597	95.167
10.787	95.167
11.000	95.134
11.206	95.111
11.399	95.043
11.559	94.962
11.693	94.809
11.828	94.698
12.002	94.585
12.164	94.497
12.388	94.422
12.594	94.393
12.836	94.419
13.015	94.427
13.239	94.467
13.463	94.532
13.642	94.571
13.821	94.620
14.025	94.700
14.223	94.772
14.403	94.841
14.627	94.903
14.822	94.966
15.025	95.034
15.209	95.023
15.388	95.008
15.612	94.945
15.733	94.822
15.925	94.719
16.138	94.771
16.305	94.850
16.504	94.890
16.731	94.891
16.910	94.859
17.062	94.772
17.199	94.661
17.323	94.532
17.452	94.382
17.649	94.290
17.831	94.279
18.057	94.287
18.221	94.369
18.388	94.449
18.591	94.445
18.729	94.291
18.956	94.260
19.127	94.329
19.255	94.444
19.397	94.548
19.597	94.604
19.776	94.639
19.993	94.655
20.224	94.629
20.414	94.508
20.581	94.404
20.761	94.460
20.940	94.497
21.119	94.465
21.316	94.425
21.499	94.401
21.701	94.420
21.871	94.471
22.104	94.532
22.284	94.566
22.463	94.606
22.642	94.635
22.866	94.654
23.045	94.633
23.224	94.621
23.403	94.620
23.621	94.620
23.851	94.621
24.030	94.605
24.254	94.533
24.456	94.438
24.657	94.427
24.836	94.426
25.015	94.427
25.194	94.426
25.373	94.425
25.560	94.453
25.776	94.484
25.928	94.569
25.946	94.719
25.976	94.898
25.990	95.898
30.000  95.898
30.05   95.898
