# Band 2C   Etalon 1B   Slice 2
# Distortion map version 06.04.00 - date 2018-10-15
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness        wavelength
0.0  591  6  6.27018002694  1.65628781749  0.0147940813757  10.0250791501
0.0  592  21  20.5080798992  1.62809054727  0.00402445971606  10.05274428
0.0  593  35  34.8646663271  1.71514589901  0.0154154789357  10.0805224765
0.0  593  49  49.412515566  1.73253394296  0.0378769629257  10.1084975127
0.0  594  64  64.0220696294  1.80309447148  0.0214921301631  10.1366142309
0.0  595  79  78.7693871851  1.75459341952  0.00122201553085  10.1648755452
0.0  595  94  93.6853434156  1.76874761341  -0.00490868453046  10.1933086648
0.0  596  109  108.720404486  1.73805174503  -0.0180327350961  10.2219040545
0.0  596  124  123.903325269  1.78303275784  -0.0371245941547  10.2506555366
0.0  597  139  139.250082684  1.80716296245  -0.011389477543  10.2795910303
0.0  598  155  154.68539346  1.70732890381  -0.0296127876533  10.3086655119
0.0  598  170  170.308148528  1.76427570739  -0.0116313839638  10.3379324369
0.0  599  186  186.021282698  1.7840690741  -0.0374021246428  10.3673319743
0.0  599  202  201.930177286  1.77900700675  -0.0320944151553  10.3969002121
0.0  600  218  217.933561769  1.77998739952  -0.0439581518966  10.4266428233
0.0  600  234  234.180324412  1.78952048697  0.0230321473492  10.4565548558
0.0  600  251  250.527953147  1.74481790947  0.0401672339765  10.4866526634
0.0  601  267  266.962601992  1.84358653902  0.0299551921125  10.5169203994
0.0  601  284  283.59515063  1.81014725522  0.0277939429639  10.5473467563
0.0  602  300  300.373042216  1.84149434479  0.0502792477291  10.577965846
0.0  602  317  317.325408229  1.86292088577  0.02502427272  10.6087574663
0.0  602  334  334.451225284  1.82828959075  0.0263258810969  10.6397379516
0.0  603  352  351.688432531  1.8135954396  0.00896561797178  10.6708972047
0.0  603  369  369.151058756  1.85929634789  0.0051758824928  10.702228954
0.0  603  387  386.752671454  1.83860407709  -0.00659215764463  10.7337198932
0.0  603  405  404.624946774  1.75084990857  0.0132253278332  10.7654214739
0.0  604  422  422.495939389  1.80798339393  0.021890485844  10.797301172
0.0  604  441  440.591230552  1.80869773845  -0.027983627665  10.8293935284
0.0  604  459  458.922436683  1.84699614712  -0.021787363146  10.8616660023
0.0  604  477  477.438033396  1.8142141659  -0.000765366593839  10.8941273142
0.0  604  496  496.126013296  1.86422592472  0.0075782843395  10.9268139676
0.0  604  515  514.992383362  1.87213287914  0.002686780078  10.9596672272
0.0  604  534  534.047445481  1.89706101352  0.0299245012323  10.9927167733
0.0  604  553  553.294257758  1.86330793182  0.0443760221055  11.0259428426
0.0  604  573  572.688579592  1.91280320745  0.0141947626928  11.0593897254
0.0  604  592  592.349088099  1.89308335159  0.0529320743354  11.093029502
0.0  604  612  612.153450778  1.92955723961  0.0414820156236  11.1268989323
0.0  604  632  632.202541319  1.9460950581  0.0532271283635  11.1609739185
0.0  604  652  652.417481876  1.89271669382  0.0346983321307  11.1952482975
0.0  604  673  672.837851512  1.98409595505  0.00577988938301  11.2297477901
0.0  603  694  693.573610241  1.95871014088  0.0132529628545  11.2644576341
0.0  603  714  714.461556413  1.9743840139  0.0186818863  11.2993458912
0.0  603  736  735.542835431  1.98060847957  0.00320990384586  11.3344687089
0.0  602  757  756.940968868  2.02616708909  0.00123600745803  11.3698154352
0.0  602  778  778.460073127  1.96403337561  0.0016777923913  11.4053622505
0.0  601  800  800.348135292  1.98666653415  0.0262007229875  11.4411689386
0.0  601  822  822.319629378  1.97736578944  0.0178066475273  11.4771864664
0.0  600  845  844.619174777  1.97400057822  -0.00377764130152  11.5134413846
0.0  600  867  867.112082948  2.04745174471  0.0333679388947  11.5498994847
0.0  599  890  889.898004888  2.07516906481  0.0201784934572  11.5865753774
0.0  598  913  912.949005233  2.05328969718  0.0167995053651  11.6235107252
0.0  597  936  936.315615045  2.02697305978  0.041169783907  11.6607006683
0.0  597  960  959.787168138  2.27864205943  -0.00728092277675  11.6980844125
0.0  596  984  983.589399252  2.08909512168  0.00831009389816  11.7357204727
0.0  595  1008  1007.67072164  2.13481466465  0.00134423303412  11.7736068512
-1.8163683841  601  6  6.08734865423  1.6907441219  0.0126492427744  10.0250791501
-1.8163683841  602  20  20.3445653507  1.65131798352  0.0334813114978  10.05274428
-1.8163683841  602  35  34.6798742346  1.69168127009  0.0249657609002  10.0805224765
-1.8163683841  603  49  49.1896550578  1.75709431023  0.0346952394842  10.1084975127
-1.8163683841  604  64  63.7885634415  1.7463744981  0.00883419730651  10.1366142309
-1.8163683841  604  79  78.5560729408  1.74346617912  0.0293718527466  10.1648755452
-1.8163683841  605  93  93.4464695991  1.76362913792  0.02202780932  10.1933086648
-1.8163683841  606  108  108.463474508  1.70528713905  0.00698219179567  10.2219040545
-1.8163683841  606  124  123.633446687  1.73649338649  -0.00866233880945  10.2506555366
-1.8163683841  607  139  138.905145548  1.75001239313  -0.0365377840431  10.2795910303
-1.8163683841  607  154  154.405025054  1.73247668584  0.00266813700813  10.3086655119
