ypos 	 xpos 	 value 
759 	 76 	 0.88024 
760 	 76 	 0.8826 
761 	 76 	 0.88501 
762 	 76 	 0.88743 
763 	 76 	 0.88977 
764 	 76 	 0.89201 
765 	 76 	 0.89409 
766 	 76 	 0.89599 
767 	 76 	 0.89769 
768 	 76 	 0.89915 
769 	 76 	 0.90035 
770 	 76 	 0.90126 
771 	 76 	 0.90185 
772 	 76 	 0.90208 
773 	 76 	 0.90195 
774 	 76 	 0.90141 
775 	 76 	 0.90048 
776 	 76 	 0.89926 
777 	 76 	 0.89784 
778 	 76 	 0.8963 
779 	 76 	 0.89473 
780 	 75 	 0.89324 
781 	 75 	 0.89191 
782 	 75 	 0.89082 
783 	 75 	 0.89008 
784 	 75 	 0.88977 
785 	 75 	 0.88998 
786 	 75 	 0.89067 
787 	 75 	 0.89179 
788 	 75 	 0.89328 
789 	 75 	 0.89508 
790 	 75 	 0.89714 
791 	 75 	 0.8994 
792 	 75 	 0.9018 
793 	 75 	 0.90428 
794 	 75 	 0.90679 
795 	 75 	 0.90926 
796 	 75 	 0.91165 
797 	 75 	 0.91395 
798 	 75 	 0.91614 
799 	 75 	 0.9182 
800 	 75 	 0.92011 
801 	 75 	 0.92185 
802 	 75 	 0.92342 
803 	 75 	 0.92478 
804 	 75 	 0.92592 
805 	 75 	 0.92683 
806 	 75 	 0.92749 
807 	 75 	 0.92792 
808 	 75 	 0.92821 
809 	 75 	 0.92839 
810 	 75 	 0.92854 
811 	 75 	 0.92872 
812 	 75 	 0.92899 
813 	 75 	 0.9294 
814 	 75 	 0.93003 
815 	 75 	 0.93094 
816 	 75 	 0.93218 
817 	 75 	 0.9338 
818 	 75 	 0.93575 
819 	 75 	 0.93798 
820 	 75 	 0.94041 
821 	 75 	 0.943 
822 	 75 	 0.94568 
823 	 75 	 0.94838 
824 	 75 	 0.95104 
825 	 75 	 0.9536 
826 	 75 	 0.956 
827 	 75 	 0.95818 
828 	 75 	 0.9601 
829 	 75 	 0.96176 
830 	 75 	 0.96321 
831 	 75 	 0.96444 
832 	 75 	 0.9655 
